"Sta","Abr.alb","Abr.nit","Apo.pes","Arc.isl","Ant.ent","Ast.ell","Ast.mon","Ast.sul","Buc.und","Cau.cla","Cor.gib","Cus.cus","Cyl.alb","Dia.min","Enn.ten","Eus.mon","Hia.arc","Kur.bid","Lep.cae","Mac.cal","Mya.tru","Myt.edu","Nuc.per","Par.min","Par.ova","Phi.sca","Pse.pes","Ris_fam","Tel.fer","Thy.equ","Thy.fle","Thy.gou","Thy.sar","Amp.chi","Amp.fil","Amp.squ","Bri.lyr","Ech.cor","Ech.fla","Oph.acu.e","Oph.aff","Oph.alb","Oph.fra","Oph.oph","Oph.rob","Str.dro","Ano.gra","Ama.aur","Ama.tri","Amp.gun","Aph.acu","Bra.vil","Cha.nil","Cha.set","Cos.lon","Dip.cfc","Dip.gla","Ete.cfl","Euc.rub","Eum.san","Eun.pen","Eup.neb","Exo.ver","Fla.aff","Gal.oci","Gly.alb","Gly.lap","Gly.rou","Gon.mac","Gyp.ros","Har.cff","Het.fil","Lae.fil","Lao.cir","Mal.sar","Med.fra","Mel.cri","Mel.eli","Neo.gra","Nep.cil","Nic.zos","Oph.acu.p","Oph.fle","Orb.nor","Orb.ser","Par.eli","Par.jef","Pet.bor","Phe.fal","Phe.plu","Pho.cfa","Pho.cfi","Pho.pal","Phy.gro","Phy.ros","Pis.cri","Pis.lor","Pol.cra","Pol.med","Pol.cfn","Pra.lon","Pri.cir","Pri.fal","Pse.pau","Rho.gra","Rho.lov","Sab.oct","Sca.inf","Sco.arm","Sco.fra","Sco.cfm","Sig.fus","Sph.fla","Spi.kro","Spi.typ","Str.bai","Syl.arm","Ter.str","Tri.gla","Tri.ros","Typ.arm","Typ.cor"
1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,8,1,0,0,0,8,0,0,3,0,0,0,0,0,0,1,0,9,1,0,11,0,0,35,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,7,0,6,0,18,0,6,2,0,0,0,0,0,0,16,0,0,0,31,2,0,0,2,2,1,0,8
2,0,1,0,0,0,7,1,1,0,1,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,18,0,0,1,0,0,0,0,0,0,0,0,14,0,0,18,1,0,6,0,0,2,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,8,2,8,1,5,0,23,12,0,0,0,1,1,0,13,0,4,1,240,4,2,1,2,0,3,0,9
3,0,7,0,0,0,1,10,0,1,1,0,0,0,0,171,0,0,0,0,3,0,0,0,0,0,2,0,0,0,37,13,0,7,0,0,0,0,0,1,0,4,0,0,0,0,0,11,0,2,0,0,0,1,10,1,0,7,0,0,0,0,0,0,0,0,17,0,0,13,0,0,12,0,0,15,0,6,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,13,0,1,1,13,0,6,0,1,0,0,0,0,0,26,1,0,0,215,4,2,4,12,0,0,0,13
4,0,1,0,0,0,2,9,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,1,4,0,1,4,0,0,0,2,5,1,0,0,1,0,6,0,0,0,4,3,0,6,0,0,5,0,0,0,0,1,0,0,0,10,0,0,15,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,16,0,5,0,4,0,12,1,11,0,5,1,1,0,13,0,0,0,70,4,0,1,12,4,6,0,8
5,0,0,0,0,0,1,27,0,0,2,4,0,0,0,8,0,1,0,15,13,0,0,0,1,1,2,3,0,1,4,0,0,2,1,2,2,1,0,0,0,12,3,0,0,2,2,70,0,1,0,4,1,0,32,0,0,3,1,0,0,1,5,0,0,0,5,20,0,23,1,0,8,0,0,0,0,2,12,0,0,0,2,0,0,0,0,0,0,3,0,0,10,0,0,0,11,0,30,1,11,1,73,32,11,0,0,0,0,19,10,0,0,3,2,0,0,3,6,1,3,0,19
6,0,0,1,1,0,5,6,0,0,2,1,0,0,0,106,0,0,0,0,0,1,0,0,0,0,0,1,0,1,22,0,0,5,0,1,0,1,0,0,0,5,1,0,0,0,0,8,0,0,0,2,2,1,45,2,0,6,0,0,3,0,0,0,0,0,13,6,0,14,1,0,35,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,20,1,14,3,5,0,86,39,1,0,0,0,1,0,10,0,1,0,98,1,1,2,7,0,1,0,11
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,11,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,18,1,1,0,0,0,1,0,2,0,0,0,0,0,12,0,1,0,315,15,0,1,1,1,4,0,2
8,1,2,0,0,0,0,16,0,0,3,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,1,2,0,0,1,0,0,0,0,4,0,0,0,0,0,6,0,0,0,1,3,0,13,1,0,9,0,0,1,0,2,0,0,0,8,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,5,0,8,0,7,6,3,0,0,0,1,0,20,0,1,0,52,5,2,0,8,3,2,0,9
9,0,0,0,2,0,0,2,0,0,1,22,0,0,0,0,0,2,1,6,0,0,0,1,1,0,1,2,0,0,3,0,0,0,5,3,1,0,0,0,0,14,0,0,1,0,0,56,0,0,2,0,2,0,3,0,11,2,0,0,0,2,2,0,0,0,12,10,0,19,0,0,18,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,5,0,0,0,2,0,0,2,3,0,22,1,16,0,24,54,20,0,0,0,0,0,10,0,0,1,18,4,2,2,9,2,8,1,18
10,0,0,0,0,0,0,0,0,1,4,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,9,2,4,0,0,0,2,0,9,0,0,0,0,0,7,0,0,0,1,8,0,18,0,0,1,0,0,0,0,0,0,0,0,8,0,1,14,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,12,0,9,0,0,4,15,0,0,0,1,0,15,1,0,0,45,1,1,2,2,0,7,0,7
