"site","sp4","sp3","sp3sd","sp3lo","sp3hi","sp2","sp2sd","sp2lo","sp2hi","sp1","sp1sd","sp1lo","sp1hi"
1,33,29.040404040404,1.86765809875926,26,31,24.7373737373737,2.31933249803604,21,28,18.4949494949495,2.90099820038684,14,22
2,41,36.959595959596,2.15197674632376,34,39,32.2525252525253,2.82605744826364,28,36,24.1919191919192,2.5542152741836,21,28
3,41,37.6262626262626,1.29035557973776,36,39,33.0606060606061,1.94735918417938,31,37,26.2020202020202,2.96227917623492,22,30
4,45,40.2424242424242,1.61049434095977,37,42,34.0707070707071,2.976960939234,30,37,24.3434343434343,3.24245314085574,21,28
5,59,53.4848484848485,0.861460984507896,53,55,46.1414141414141,2.32997372767049,43,49,32.6666666666667,4.49943307086389,26,38
6,53,46.9292929292929,1.18883003069752,46,49,39.3737373737374,2.22502400164013,37,42,28.5757575757576,2.0207641971865,25,30
7,30,26.1313131313131,2.32838064357107,23,29,21.7979797979798,2.25415624279566,18,26,15.9393939393939,2.90607450295026,11,18
8,40,36.6666666666667,1.49829835452879,35,38,30.6565656565657,3.04108471572172,27,36,21.9090909090909,3.21060395199239,19,29
9,52,48.3434343434343,2.27300761000376,45,51,41.8585858585859,3.15908182543567,38,47,31.1111111111111,4.0604837574692,27,37
10,37,33.6363636363636,2.63978410316398,30,36,30.010101010101,2.2200153956763,27,33,22.9393939393939,2.58258761954284,19,25
11,43,38.1616161616162,1.50310610856775,36,40,31.3939393939394,2.09867879633044,30,36,22.3232323232323,2.9025965955495,18,26
12,44,39.9393939393939,1.52408006256422,37,42,35.010101010101,2.45986124336956,31,38,25.5050505050505,2.74186640356058,22,30
13,40,36.5858585858586,2.26332832851425,34,39,32.0505050505051,2.9359618851921,28,37,25.2525252525253,3.4973559527263,22,30
14,37,32.5454545454545,3.32974451208647,28,36,28.8585858585859,3.545650111685,24,33,21.2727272727273,1.93157534215258,20,25
15,38,33.3434343434343,0.834970562375095,32,34,27.0707070707071,1.41603445458864,26,30,18.5252525252525,1.53425800948274,16,20
16,36,32.0909090909091,1.9224288903858,30,35,27.020202020202,2.56737695879809,24,30,19.9090909090909,2.50342992912096,16,23
17,39,35.6767676767677,1.07692194426829,34,37,30.6262626262626,2.07799873595972,27,34,22.7171717171717,2.89982548398335,19,26
18,44,40.4545454545455,0.895256516343589,39,41,35.2525252525253,2.01192077147246,33,38,27.0505050505051,0.993589014671697,26,29
19,32,28.7979797979798,1.77269423667213,27,31,23.6767676767677,1.49712842705889,21,26,16.2626262626263,1.28242323703802,15,18
20,44,39.8989898989899,1.28963647381377,38,41,34.1212121212121,2.84738593784461,30,37,25.5757575757576,4.1034851018917,22,32
21,42,36.7575757575758,3.31074598256027,31,40,30.7979797979798,4.67511824139415,24,37,22.5555555555556,5.88013296778405,15,31
22,36,31.7474747474747,2.4004397315842,29,35,25.8282828282828,2.5072971219956,23,29,18.1515151515152,2.30953496672451,16,22
23,42,36.7979797979798,0.403550517278664,36,37,30.7171717171717,0.915182640859569,29,32,22.2626262626263,1.75304899745173,20,24
24,36,33.8989898989899,1.96653092201569,31,36,30.6262626262626,3.36726697930465,24,35,23.4848484848485,4.47980419662224,17,28
25,59,54.0808080808081,1.13996748679708,52,55,46.1010101010101,1.97688143138998,43,48,31.7474747474747,4.57888551261343,27,37
26,41,36.3030303030303,2.17337575033255,33,38,30.9292929292929,2.81487493923281,28,35,23.3838383838384,3.80844140466902,20,29
27,35,31.6262626262626,0.722606656005352,31,33,27.2626262626263,1.48863626528566,25,29,20.030303030303,1.83199760189747,18,23
28,44,38.8686868686869,1.10330176683596,38,41,32.6868686868687,1.80501831437633,31,36,23.969696969697,3.53828779489183,19,27
